project_name,file_path,mode,full_leak_count,partial_leak_count,leak_count,analysis_time,success,error_message
0xPolygon_zkevm-proverjs,0xPolygon_zkevm-proverjs\recursive\final.circom,main,0,0,0,0.29567790031433105,True,
busyapedao_zksafebox-contract,busyapedao_zksafebox-contract\zk\main.circom,main,0,0,0,0.2573361396789551,True,
busyapedao_zksafebox-contract,busyapedao_zksafebox-contract\zk\main2.circom,main,0,0,0,0.26358580589294434,True,
busyapedao_zksafebox-contract,busyapedao_zksafebox-contract\zk\main3.circom,main,1,0,1,2.6574807167053223,True,
busyapedao_zksafebox-contract,busyapedao_zksafebox-contract\zk\circuits\main2.circom,main,0,0,0,2.5438835620880127,True,
busyapedao_zksafebox-contract,busyapedao_zksafebox-contract\zk\circuits\sha256\main.circom,main,1,0,1,0.5198204517364502,True,
dhananjaypai08_Zk-OS,dhananjaypai08_Zk-OS\backend\Main.circom,main,0,0,0,0.2582261562347412,True,
EkuboProtocol_privacy-pools,EkuboProtocol_privacy-pools\circuits\test.circom,main,0,0,0,2.496563673019409,True,
factorgroup_nightmarket,factorgroup_nightmarket\circuits\util\perlin.circom,main,0,0,0,0.31476259231567383,True,
factorgroup_nightmarket,factorgroup_nightmarket\circuits\util\rangeProof.circom,main,0,0,0,0.26064395904541016,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\check-positive.circom,main,0,0,0,0.2518439292907715,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\check-sum.circom,main,0,0,0,0.24536371231079102,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\keccak_bytes.circom,main,0,0,0,0.3790135383605957,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\kpke_enc.circom,main,0,0,0,0.3953073024749756,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\mlkem.circom,main,0,0,0,0.40744757652282715,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\mlkem_g.circom,main,0,0,0,0.47850799560546875,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\pack_bytes.circom,main,0,0,0,0.26165175437927246,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\poseidon-ex.circom,main,0,0,0,0.25518298149108887,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\poseidon.circom,main,0,0,0,0.253124475479126,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\pubkey.circom,main,0,0,0,0.25623202323913574,True,
