project_name,file_path,mode,has_main,public_inputs_count,full_leak_count,partial_leak_count,leak_count,analysis_time,success,error_message
0xPolygon_zkevm-proverjs,0xPolygon_zkevm-proverjs\recursive\final.circom,main,False,-1,0,0,0,1.7918057441711426,True,
busyapedao_zksafebox-contract,busyapedao_zksafebox-contract\zk\main.circom,main,True,0,0,0,0,0.24577569961547852,True,
busyapedao_zksafebox-contract,busyapedao_zksafebox-contract\zk\main2.circom,main,True,0,0,0,0,0.24402952194213867,True,
busyapedao_zksafebox-contract,busyapedao_zksafebox-contract\zk\main3.circom,main,True,0,1,0,1,2.466412305831909,True,
busyapedao_zksafebox-contract,busyapedao_zksafebox-contract\zk\circuits\main2.circom,main,True,0,0,0,0,2.5459718704223633,True,
busyapedao_zksafebox-contract,busyapedao_zksafebox-contract\zk\circuits\sha256\main.circom,main,True,0,0,0,0,0.42629146575927734,True,
dhananjaypai08_Zk-OS,dhananjaypai08_Zk-OS\backend\Main.circom,main,True,0,0,0,0,0.24615001678466797,True,
EkuboProtocol_privacy-pools,EkuboProtocol_privacy-pools\circuits\test.circom,main,True,0,0,0,0,2.5772392749786377,True,
factorgroup_nightmarket,factorgroup_nightmarket\circuits\util\perlin.circom,main,False,-1,0,0,0,0.2914767265319824,True,
factorgroup_nightmarket,factorgroup_nightmarket\circuits\util\rangeProof.circom,main,False,-1,0,0,0,0.24518346786499023,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\check-positive.circom,main,False,-1,0,0,0,0.25438475608825684,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\check-sum.circom,main,False,-1,0,0,0,0.24544310569763184,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\keccak_bytes.circom,main,True,0,0,0,0,0.30307960510253906,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\kpke_enc.circom,main,False,-1,0,0,0,0.3902013301849365,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\mlkem.circom,main,True,0,0,0,0,0.4037928581237793,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\mlkem_g.circom,main,True,0,0,0,0,0.39891910552978516,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\pack_bytes.circom,main,True,0,0,0,0,0.24979496002197266,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\poseidon-ex.circom,main,False,-1,0,0,0,0.24199414253234863,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\poseidon.circom,main,False,-1,0,0,0,0.2446439266204834,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\pubkey.circom,main,False,-1,0,0,0,0.24652910232543945,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\sha3_256_bytes_800.circom,main,True,0,0,0,0,0.3132939338684082,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\sha3_512_bytes.circom,main,True,0,0,0,0,0.31648898124694824,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\sha3_bits.circom,main,True,0,0,0,0,0.3045165538787842,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\unpack_bytes.circom,main,True,0,0,0,0,0.2511591911315918,True,
nobitex_sigmab,nobitex_sigmab\circuit\mpt_last.circom,main,True,0,0,0,0,0.6811790466308594,True,
nobitex_sigmab,nobitex_sigmab\circuit\mpt_path.circom,main,True,0,1,0,1,0.5629923343658447,True,
nobitex_sigmab,nobitex_sigmab\circuit\stealth_balance_addition.circom,main,True,0,0,0,0,0.28007006645202637,True,
Poseidon-ZKP_Applied-ZKP-Workshop,Poseidon-ZKP_Applied-ZKP-Workshop\hello_zkp\simple_polynomial.circom,main,True,0,0,0,0,0.24681806564331055,True,
Poseidon-ZKP_Applied-ZKP-Workshop,Poseidon-ZKP_Applied-ZKP-Workshop\zkDApp\circuits\group.circom,main,True,0,0,0,0,0.250870943069458,True,
