
================================================================================
Circomspect 隐私泄露评估测试报告
================================================================================

【总体统计】
  总分析文件数: 2373
  模式分布: Main=2373, Library=0
  运行状况: 成功=2365, 失败=8
  总用时: 868.89 秒
  实际被作为 main 入口分析的文件数: 1675
    其中显式指定了 public 信号的占比: 10/1675 (0.6%)
  存在隐私泄露的文件数: 583 (24.6%)
  风险信号总数: 1295 (FULL LEAK: 118, PARTIAL LEAK: 1295)

【按项目统计】
  - ocdbytes_ZK: 4 文件, 泄露文件: 3, 风险信号: 7 (FULL: 0, PARTIAL: 7)
  - oskarth_zkintro-tutorial: 3 文件, 泄露文件: 3, 风险信号: 6 (FULL: 0, PARTIAL: 6)
  - Pecunia-Labs_pecunia-tron: 4 文件, 泄露文件: 3, 风险信号: 3 (FULL: 2, PARTIAL: 3)
  - RAJIV81205_X-Ramp: 3 文件, 泄露文件: 3, 风险信号: 15 (FULL: 0, PARTIAL: 15)
  - santacroce-tech_zkgame: 3 文件, 泄露文件: 3, 风险信号: 3 (FULL: 1, PARTIAL: 3)
  - socathie_circomlib-ml: 40 文件, 泄露文件: 3, 风险信号: 4 (FULL: 1, PARTIAL: 4)
  - Ty-HA_zkage-proof-mobile: 3 文件, 泄露文件: 3, 风险信号: 5 (FULL: 4, PARTIAL: 5)
  - vvmafra_EnerTradeZK: 3 文件, 泄露文件: 3, 风险信号: 5 (FULL: 1, PARTIAL: 5)
  - 0xShiiro_ZK-learnings: 3 文件, 泄露文件: 2, 风险信号: 4 (FULL: 1, PARTIAL: 4)
  - ABaaaC_zkKaggle: 2 文件, 泄露文件: 2, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - akharawita_poc-zkf-dapp: 2 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - AkshatGada_circom-lib: 3 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - AmbitionCX_circomViz: 3 文件, 泄露文件: 2, 风险信号: 6 (FULL: 0, PARTIAL: 6)
  - bunsenstraat_remix-desktop: 2 文件, 泄露文件: 2, 风险信号: 4 (FULL: 0, PARTIAL: 4)
  - busyapedao_zksafebox-contract: 5 文件, 泄露文件: 2, 风险信号: 2 (FULL: 1, PARTIAL: 2)
  - darklakefi_darklake-monorepo: 14 文件, 泄露文件: 2, 风险信号: 5 (FULL: 0, PARTIAL: 5)
  - DebRC_Vortex: 3 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - finitology_hardhat-circom-starter: 3 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - gebetasuq_adam-protocol: 2 文件, 泄露文件: 2, 风险信号: 6 (FULL: 0, PARTIAL: 6)
  - GigameshGarages_ReefNet: 2 文件, 泄露文件: 2, 风险信号: 4 (FULL: 0, PARTIAL: 4)
  - holyaustin_ZeroSecret: 3 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - JofArnold_zkp-learning-in-public: 7 文件, 泄露文件: 2, 风险信号: 2 (FULL: 1, PARTIAL: 2)
  - Kartikvyas1604_TrustNet: 2 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - m-pandey5_ZkDapp: 2 文件, 泄露文件: 2, 风险信号: 6 (FULL: 0, PARTIAL: 6)
  - MAKMED1337_ZKP-circom: 4 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - marcozecchini_blindRSANotary: 4 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - mashharuki_ZKRepo: 29 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - mxber2022_ETHWarsaw: 11 文件, 泄露文件: 2, 风险信号: 3 (FULL: 2, PARTIAL: 3)
  - OwshenNetwork_bermuda: 2 文件, 泄露文件: 2, 风险信号: 4 (FULL: 2, PARTIAL: 4)
  - Poseidon-ZKP_Applied-ZKP-Workshop: 2 文件, 泄露文件: 2, 风险信号: 6 (FULL: 0, PARTIAL: 6)
  - Q8yi_TayQiYing_bdaf: 2 文件, 泄露文件: 2, 风险信号: 4 (FULL: 0, PARTIAL: 4)
  - ravencyan_bdaf_zkp_lab: 2 文件, 泄露文件: 2, 风险信号: 4 (FULL: 0, PARTIAL: 4)
  - RippnerLabs_cloak-minster-ballot: 2 文件, 泄露文件: 2, 风险信号: 10 (FULL: 0, PARTIAL: 10)
  - Sayhighz_zero-id: 2 文件, 泄露文件: 2, 风险信号: 2 (FULL: 1, PARTIAL: 2)
  - Se7en-Seas_circom-mangoes: 9 文件, 泄露文件: 2, 风险信号: 4 (FULL: 0, PARTIAL: 4)
  - semaraugusto_mobilenet-nova: 10 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - tokamak-network_DEPRECATED-Tokamak-zkp-channel-manager: 6 文件, 泄露文件: 2, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - tokamak-network_Tokamak-zk-EVM: 6 文件, 泄露文件: 2, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - veljkovranic_shortcircuit: 3 文件, 泄露文件: 2, 风险信号: 6 (FULL: 1, PARTIAL: 6)
  - VersoriumX_Remix-Project-X: 2 文件, 泄露文件: 2, 风险信号: 4 (FULL: 0, PARTIAL: 4)
  - ZkBlind_ZkBlindNextJs: 3 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - 0xc0de42_zk-sandbox: 16 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - 0xgeorgemathew_rip-contracts: 1 文件, 泄露文件: 1, 风险信号: 6 (FULL: 0, PARTIAL: 6)
  - 2281469043_zkKYC_and_zkCBPR: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - 2dvorak_zk-jwt-poc: 1 文件, 泄露文件: 1, 风险信号: 5 (FULL: 0, PARTIAL: 5)
  - alex-lindenbaum_battlesnark: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - AliIbrahimMohammed_ZKP_solidity: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - badblood8_blockchain_ZKPs: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - BigWhaleLabs_seal-hub-verifier-template: 1 文件, 泄露文件: 1, 风险信号: 5 (FULL: 0, PARTIAL: 5)
  - burcu-yildiz_benchmarking-poseidon-and-hydra: 1 文件, 泄露文件: 1, 风险信号: 4 (FULL: 0, PARTIAL: 4)
  - CaptainLEVI-XXX_zk2FA: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 1, PARTIAL: 1)
  - ClearflySystems_encodeclub: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - csl-blockchain_goatzkcp: 5 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - daffafaizan_goatzkcp: 5 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - Daniel-Szego_Zeroknowledgeworkshop: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - developeruche_cryptography-n-zk-research: 2 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - DND-Dynamite_L-ZKP: 2 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - elohcrypto_zk-hybrid-rollup: 2 文件, 泄露文件: 1, 风险信号: 10 (FULL: 1, PARTIAL: 10)
  - Galactica-corp_galactica-monorepo: 12 文件, 泄露文件: 1, 风险信号: 4 (FULL: 0, PARTIAL: 4)
  - Ghostkey316_ghostkey-316-vaultfire-init: 3 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - harshit6239_ZK-Crowdfunding-Audit: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 2, PARTIAL: 2)
  - hashprotocol_eth-lightclient: 2 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - joshpwrk_DAOism: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - june-in-exile_zkWill: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - justAbhinav_Airavat: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - Kartikvyas1604_SafeMask: 2 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - kitai-hazure_scaling-eth-24: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - lakshyarawat29_Airavat: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - leonardovona_beacon-relay: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - levoel_crypto-fundamentals-course: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - Lightency-io_GreenTrust: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 1, PARTIAL: 2)
  - mesayanroy_safesol: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - mihirsinghal_double-blind-something: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 1, PARTIAL: 1)
  - morkeltry_ruggya: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - MultiplicityFoundation_Lambda-Proof: 3 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - NameIsGabe_Alexa-s-Sudoku: 2 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - ngmachado_stealth-payment-cli: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 1, PARTIAL: 1)
  - nobitex_sigmab: 3 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - nocturne-xyz_protocol: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - noelkelias_lova: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - noyla_elysiumJourneys: 2 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - OnChainMee_zkml-erc8004: 1 文件, 泄露文件: 1, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - pantherfoundation_panther-core: 13 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - paradigmxyz_zk-eth-rng: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - ParthRathix0_AuthVault.zk: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - Portkey-Wallet_zkLogin-circuit: 6 文件, 泄露文件: 1, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - privacy-ethereum_nova-ml: 2 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - Punith-KK_Kira: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - rac-sri_Cryptography-and-Math-Coding: 3 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - Ronnieraj37_ETH-villa: 1 文件, 泄露文件: 1, 风险信号: 4 (FULL: 4, PARTIAL: 4)
  - saharAP_phd-nova-zkml: 3 文件, 泄露文件: 1, 风险信号: 1 (FULL: 1, PARTIAL: 1)
  - Sarkoxed_zk-circuit-verification: 7 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - Schreezer_ZK_AgeVerification: 4 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
